date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:49:11	3076/3076	---M-Z	200	added ('OK')	text/html	etag:%22c04-58bf96f7e86d6-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/binnode_travpreorder.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/binnode_travpreorder.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
08:49:12	3130/3130	---M-Z	200	added ('OK')	text/html	etag:%22c3a-58bf96f824000-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/binnode_travpreorder_i1.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/binnode_travpreorder_i1.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
08:49:13	4415/4415	---M-Z	200	added ('OK')	text/html	etag:%22113f-58bf96f85ca49-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/binnode_travpreorder_i2.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/binnode_travpreorder_i2.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
08:49:14	2520/2520	---M-Z	200	added ('OK')	text/html	etag:%229d8-58bf96f898373-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/binnode_travpreorder_r.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/binnode_travpreorder_r.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
08:49:15	4768/4768	---M-Z	200	added ('OK')	text/html	etag:%2212a0-58bf96f8d5bdd-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/binnode_zag.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/binnode_zag.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
08:49:16	4771/4771	---M-Z	200	added ('OK')	text/html	etag:%2212a3-58bf96f9124a7-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/binnode_zig.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/binnode_zig.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
08:49:17	8158/8158	---M-Z	200	added ('OK')	text/html	etag:%221fde-58bf96f94be91-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/bintree.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/bintree.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
08:49:18	3111/3111	---M-Z	200	added ('OK')	text/html	etag:%22c27-58bf96f9848da-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/bintree_attach.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/bintree_attach.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
08:49:19	3172/3172	---M-Z	200	added ('OK')	text/html	etag:%22c64-58bf96f9bf264-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/bintree_implementation.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/bintree_implementation.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
08:49:20	2903/2903	---M-Z	200	added ('OK')	text/html	etag:%22b57-58bf96f9f5d6d-gzip%22	https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/bintree/bintree_insert.h.htm	/Users/apple/Desktop/Data_Struct/dsa.cs.tsinghua.edu.cn/_deng/ds/src_link/bintree/bintree_insert.h.html	(from https://dsa.cs.tsinghua.edu.cn/~deng/ds/src_link/index.htm)
